vehicle_type,Maker,year,quarter,year_quarter,registrations,registrations_last_quarter,QoQ_growth_%
2W,ATUMOBILE PVT LTD,2025,4,2025-Q4,0,12,100
2W,AYAAN ELECTRONIC PVT LTD,2023,1,2023-Q1,37,,
2W,AYAAN ELECTRONIC PVT LTD,2023,2,2023-Q2,30,37,18.92
2W,AYAAN ELECTRONIC PVT LTD,2023,3,2023-Q3,25,30,16.67
2W,AYAAN ELECTRONIC PVT LTD,2023,4,2023-Q4,20,25,20
2W,AYAAN ELECTRONIC PVT LTD,2024,1,2024-Q1,18,20,10
2W,AYAAN ELECTRONIC PVT LTD,2024,2,2024-Q2,7,18,61.11
2W,AYAAN ELECTRONIC PVT LTD,2024,3,2024-Q3,4,7,42.86
2W,AYAAN ELECTRONIC PVT LTD,2024,4,2024-Q4,1,4,75
2W,AYAAN ELECTRONIC PVT LTD,2025,1,2025-Q1,2,1,100
2W,AYAAN ELECTRONIC PVT LTD,2025,2,2025-Q2,0,2,100
2W,AYAAN ELECTRONIC PVT LTD,2025,3,2025-Q3,2,0,
2W,AYAAN ELECTRONIC PVT LTD,2025,4,2025-Q4,0,2,100
2W,BAILI MOTOR (IMPORTER:A B MOTOSS EV PVT LTD),2023,1,2023-Q1,0,,
2W,BAILI MOTOR (IMPORTER:A B MOTOSS EV PVT LTD),2023,2,2023-Q2,0,0,
2W,BAILI MOTOR (IMPORTER:A B MOTOSS EV PVT LTD),2023,3,2023-Q3,0,0,
2W,BAILI MOTOR (IMPORTER:A B MOTOSS EV PVT LTD),2023,4,2023-Q4,4,0,
2W,BAILI MOTOR (IMPORTER:A B MOTOSS EV PVT LTD),2024,1,2024-Q1,1,4,75
2W,BAILI MOTOR (IMPORTER:A B MOTOSS EV PVT LTD),2024,2,2024-Q2,2,1,100
2W,BAILI MOTOR (IMPORTER:A B MOTOSS EV PVT LTD),2024,3,2024-Q3,0,2,100
2W,BAILI MOTOR (IMPORTER:A B MOTOSS EV PVT LTD),2024,4,2024-Q4,3,0,
2W,BAILI MOTOR (IMPORTER:A B MOTOSS EV PVT LTD),2025,1,2025-Q1,2,3,33.33
2W,BAILI MOTOR (IMPORTER:A B MOTOSS EV PVT LTD),2025,2,2025-Q2,1,2,50
2W,BAILI MOTOR (IMPORTER:A B MOTOSS EV PVT LTD),2025,3,2025-Q3,3,1,200
2W,BAILI MOTOR (IMPORTER:A B MOTOSS EV PVT LTD),2025,4,2025-Q4,0,3,100
2W,BAJAJ AUTO LTD,2023,1,2023-Q1,0,,
2W,BAJAJ AUTO LTD,2023,2,2023-Q2,0,0,
2W,BAJAJ AUTO LTD,2023,3,2023-Q3,0,0,
2W,BAJAJ AUTO LTD,2023,4,2023-Q4,0,0,
2W,BAJAJ AUTO LTD,2024,1,2024-Q1,0,0,
2W,BAJAJ AUTO LTD,2024,2,2024-Q2,0,0,
2W,BAJAJ AUTO LTD,2024,3,2024-Q3,0,0,
2W,BAJAJ AUTO LTD,2024,4,2024-Q4,0,0,
2W,BAJAJ AUTO LTD,2025,1,2025-Q1,0,0,
2W,BAJAJ AUTO LTD,2025,2,2025-Q2,0,0,
2W,BAJAJ AUTO LTD,2025,3,2025-Q3,0,0,
2W,BAJAJ AUTO LTD,2025,4,2025-Q4,0,0,
2W,BATTRE ELECTRIC MOBLITY PVT LTD,2023,1,2023-Q1,380,,
2W,BATTRE ELECTRIC MOBLITY PVT LTD,2023,2,2023-Q2,735,380,93.42
2W,BATTRE ELECTRIC MOBLITY PVT LTD,2023,3,2023-Q3,683,735,7.07
2W,BATTRE ELECTRIC MOBLITY PVT LTD,2023,4,2023-Q4,1142,683,67.2
2W,BATTRE ELECTRIC MOBLITY PVT LTD,2024,1,2024-Q1,1143,1142,0.09
2W,BATTRE ELECTRIC MOBLITY PVT LTD,2024,2,2024-Q2,506,1143,55.73
2W,BATTRE ELECTRIC MOBLITY PVT LTD,2024,3,2024-Q3,655,506,29.45
2W,BATTRE ELECTRIC MOBLITY PVT LTD,2024,4,2024-Q4,798,655,21.83
2W,BATTRE ELECTRIC MOBLITY PVT LTD,2025,1,2025-Q1,433,798,45.74
2W,BATTRE ELECTRIC MOBLITY PVT LTD,2025,2,2025-Q2,334,433,22.86
2W,BATTRE ELECTRIC MOBLITY PVT LTD,2025,3,2025-Q3,989,334,196.11
2W,BATTRE ELECTRIC MOBLITY PVT LTD,2025,4,2025-Q4,0,989,100
2W,BENLING INDIA ENERGY AND TECHNOLOGY PVT LTD,2023,1,2023-Q1,1354,,
2W,BENLING INDIA ENERGY AND TECHNOLOGY PVT LTD,2023,2,2023-Q2,862,1354,36.34
2W,BENLING INDIA ENERGY AND TECHNOLOGY PVT LTD,2023,3,2023-Q3,505,862,41.42
2W,BENLING INDIA ENERGY AND TECHNOLOGY PVT LTD,2023,4,2023-Q4,284,505,43.76
2W,BENLING INDIA ENERGY AND TECHNOLOGY PVT LTD,2024,1,2024-Q1,216,284,23.94
2W,BENLING INDIA ENERGY AND TECHNOLOGY PVT LTD,2024,2,2024-Q2,150,216,30.56
2W,BENLING INDIA ENERGY AND TECHNOLOGY PVT LTD,2024,3,2024-Q3,85,150,43.33
2W,BENLING INDIA ENERGY AND TECHNOLOGY PVT LTD,2024,4,2024-Q4,74,85,12.94
2W,BENLING INDIA ENERGY AND TECHNOLOGY PVT LTD,2025,1,2025-Q1,42,74,43.24
2W,BENLING INDIA ENERGY AND TECHNOLOGY PVT LTD,2025,2,2025-Q2,45,42,7.14
2W,BENLING INDIA ENERGY AND TECHNOLOGY PVT LTD,2025,3,2025-Q3,127,45,182.22
2W,BENLING INDIA ENERGY AND TECHNOLOGY PVT LTD,2025,4,2025-Q4,0,127,100
2W,BGAUSS AUTO PRIVATE LIMITED,2023,1,2023-Q1,2164,,
2W,BGAUSS AUTO PRIVATE LIMITED,2023,2,2023-Q2,962,2164,55.55
2W,BGAUSS AUTO PRIVATE LIMITED,2023,3,2023-Q3,2519,962,161.85
2W,BGAUSS AUTO PRIVATE LIMITED,2023,4,2023-Q4,0,2519,100
2W,BGAUSS AUTO PRIVATE LIMITED,2024,1,2024-Q1,0,0,
2W,BGAUSS AUTO PRIVATE LIMITED,2024,2,2024-Q2,713,0,
2W,BGAUSS AUTO PRIVATE LIMITED,2024,3,2024-Q3,0,713,100
